"","ID_BDCARTO","NOM_COMM","INSEE_COMM","X_COMMUNE","Y_COMMUNE","12","2","21","23","3","20","18","24","7","11","6","25","29","4","10","35","41","1","16","5","40","9","8","27","15"
"49","SURFCOMM0000000013681371","Boissy-le-Cutté","91080",6471,68193,0.3442,0.1645,0,0,0,0,0,0.0303,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","SURFCOMM0000000013681372","Villeneuve-sur-Auvers","91671",6445,68198,0.7063,0.0336,0,0.1524,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","SURFCOMM0000000013681373","Bouville","91100",6460,68148,0.5371,0.0239,0,0.0497,0.01,0,0,0.076,0,0.0067,0,0.2965,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","SURFCOMM0000000013681374","Guigneville-sur-Essonne","91293",6522,68188,0.5922,0.0744,0,0.1683,0.0334,0,0,0,0,0,0,0.1316,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","SURFCOMM0000000013681375","La Ferté-Alais","91232",6519,68205,0.4289,0.3348,0,0.2363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","SURFCOMM0000000013681376","D'Huison-Longueville","91198",6498,68177,0.3577,0.0892,0,0.1433,0.0501,0,0.001,0.1232,0,0,0,0.2355,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","SURFCOMM0000000013681377","Boutigny-sur-Essonne","91099",6539,68153,0.4317,0.09,0,0.1078,0,0.0496,0,0.0735,0,0.0061,0,0.2413,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","SURFCOMM0000000013681378","Vayres-sur-Essonne","91639",6526,68149,0.4571,0.069,0,0.1476,0,0,0,0.0262,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","SURFCOMM0000000013681379","Soisy-sur-École","91599",6626,68195,0.5933,0.0838,0,0.3048,0,0.0181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","SURFCOMM0000000013681380","Dannemois","91195",6613,68170,0.4576,0.0682,0,0.4376,0,0.0365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","SURFCOMM0000000013681381","Videlles","91654",6580,68184,0.7664,0.0397,0,0.1463,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","SURFCOMM0000000013681382","Courances","91180",6612,68156,0.5325,0.0312,0,0.4363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","SURFCOMM0000000013681383","Moigny-sur-École","91408",6598,68149,0.491,0.0701,0,0.2838,0,0.0016,0,0,0,0,0,0.1533,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","SURFCOMM0000000013681384","Dourdan","91200",6270,68259,0.2092,0.1093,0.0094,0.5871,0.0208,0,0.0347,0.0081,0,0,0,0,0,0.0071,0.0143,0,0,0,0,0,0,0,0,0,0
"63","SURFCOMM0000000013681385","Les Granges-le-Roi","91284",6275,68228,0.5628,0.0422,0,0.3724,0.0039,0,0.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","SURFCOMM0000000013681386","Corbreuse","91175",6233,68226,0.8267,0.0419,0,0.1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","SURFCOMM0000000013681387","Sermaise","91593",6321,68266,0.5833,0.0771,0.049,0.2747,0,0.0159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","SURFCOMM0000000013681388","Roinville","91525",6295,68261,0.6268,0.0612,0.0192,0.2242,0,0,0.0686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","SURFCOMM0000000013681389","Villeconin","91662",6353,68241,0.617,0,0,0.3367,0,0.0463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","SURFCOMM0000000013681390","Boissy-le-Sec","91081",6328,68200,0.7637,0.0145,0,0.1815,0,0.0403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","SURFCOMM0000000013681391","Saint-Sulpice-de-Favières","91578",6395,68271,0.5101,0.0697,0.0247,0.3955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","SURFCOMM0000000013681392","Mauchamps","91378",6405,68259,0.7943,0.1266,0,0.0791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","SURFCOMM0000000013681393","Chamarande","91132",6421,68242,0.4038,0.0988,0.0451,0.4506,0,0,0,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","SURFCOMM0000000013681394","Souzy-la-Briche","91602",6371,68258,0.4041,0,0.0986,0.4973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","SURFCOMM0000000013681395","Chauffour-lès-Étréchy","91148",6386,68230,0.861,0.0062,0,0.0809,0,0.0519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","SURFCOMM0000000013681396","Étréchy","91226",6402,68217,0.4672,0.2318,0,0.2989,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","SURFCOMM0000000013681397","Lardy","91330",6457,68249,0.156,0.3225,0,0.3433,0.0546,0,0,0,0,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","SURFCOMM0000000013681398","Bouray-sur-Juine","91095",6481,68246,0.4274,0.1494,0,0.4218,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","SURFCOMM0000000013681399","Torfou","91619",6429,68260,0.6884,0.085,0,0.2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","SURFCOMM0000000013681400","Cerny","91129",6503,68199,0.3904,0.0957,0,0.3823,0.0307,0,0.0139,0.0052,0,0.029,0,0.0365,0.0162,0,0,0,0,0,0,0,0,0,0,0,0
"79","SURFCOMM0000000013681401","Janville-sur-Juine","91318",6460,68243,0.4355,0.1028,0,0.4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","SURFCOMM0000000013681402","Ballancourt-sur-Essonne","91045",6546,68252,0.4485,0.2173,0,0.274,0,0,0,0,0.0332,0,0,0,0,0,0,0.0079,0.0192,0,0,0,0,0,0,0,0
